flag;this;depth;left;right;objects;volume
[DBG] ;0x13a5b00;12;0x13a5e10;0x13a5e80;0;0
[DBG] ;0x13a5e10;13;0x13a5ef0;0x13a5f60;0;0
[DBG] ;0x13a5ef0;14;0x13a5fd0;0x13a6040;0;0
[DBG] ;0x13a5fd0;15;0;0;22;0.0356598
[DBG] ;0x13a6040;15;0;0;8;-0.0356598
[DBG] ;0x13a5f60;14;0;0;0;0
[DBG] ;0x13a5e80;13;0;0;0;0
[DBG] ;0x13a5a20;11;0;0;4;0
[DBG] ;0x13a5940;10;0;0;4;0
[DBG] ;0x13a5860;9;0x13a60b0;0x13a6120;0;0
[DBG] ;0x13a60b0;10;0x13a6190;0x13a6200;0;0
[DBG] ;0x13a6190;11;0x13a6270;0x13a62e0;0;0
[DBG] ;0x13a6270;12;0x13a6350;0x13a63c0;0;0.0356598
[DBG] ;0x13a6350;13;0x13a6430;0x13a64a0;0;0.0356598
[DBG] ;0x13a6430;14;0x13a6510;0x13a6580;0;0.0356598
[DBG] ;0x13a6510;15;0;0;22;0.0356598
[DBG] ;0x13a6580;15;0;0;8;0
[DBG] ;0x13a64a0;14;0;0;0;0
[DBG] ;0x13a63c0;13;0;0;0;0
[DBG] ;0x13a62e0;12;0;0;8;-0.0356598
[DBG] ;0x13a6200;11;0;0;0;0
[DBG] ;0x13a6120;10;0;0;0;0
[DBG] ;0x13a5780;8;0;0;4;0
[DBG] ;0x13a56a0;7;0;0;5;0.517502
[DBG] ;0x13a53a0;6;0x13a65f0;0x13a6660;0;0.491681
[DBG] ;0x13a65f0;7;0x13a7150;0x13a71c0;0;0.200586
[DBG] ;0x13a7150;8;0x13a7230;0x13a72a0;0;0.200586
[DBG] ;0x13a7230;9;0x13a74b0;0x13a7520;0;0.0356598
[DBG] ;0x13a74b0;10;0x13a7590;0x13a7600;0;0.0356598
[DBG] ;0x13a7590;11;0x13a7670;0x13a76e0;0;0.0356598
[DBG] ;0x13a7670;12;0x13a7750;0x13a77c0;0;0.0356598
[DBG] ;0x13a7750;13;0x13a7830;0x13a78a0;0;0.0356598
[DBG] ;0x13a7830;14;0x13a7910;0x13a7980;0;0.0356598
[DBG] ;0x13a7910;15;0;0;43;0.0356598
[DBG] ;0x13a7980;15;0;0;29;0
[DBG] ;0x13a78a0;14;0;0;2;0
[DBG] ;0x13a77c0;13;0;0;1;0
[DBG] ;0x13a76e0;12;0x13a79f0;0x13a7a60;0;0
[DBG] ;0x13a79f0;13;0x13a7ad0;0x13a7b40;0;0
[DBG] ;0x13a7ad0;14;0x13a7bb0;0x13a7c20;0;0
[DBG] ;0x13a7bb0;15;0;0;25;0.00283224
[DBG] ;0x13a7c20;15;0;0;19;-0.00283224
[DBG] ;0x13a7b40;14;0;0;7;0
[DBG] ;0x13a7a60;13;0;0;10;0
[DBG] ;0x13a7600;11;0;0;2;0
[DBG] ;0x13a7520;10;0;0;1;0
[DBG] ;0x13a72a0;9;0x13a7c90;0x13a7d00;0;0.164926
[DBG] ;0x13a7c90;10;0x13a8a30;0x13a8aa0;0;0.132746
[DBG] ;0x13a8a30;11;0x13a8b50;0x13a8bc0;0;0.104799
[DBG] ;0x13a8b50;12;0x13a8c30;0x13a8ca0;0;0.00283224
[DBG] ;0x13a8c30;13;0x13a8d10;0x13a8d80;0;0.00283224
[DBG] ;0x13a8d10;14;0x13a8df0;0x13a8e60;0;0.00283224
[DBG] ;0x13a8df0;15;0;0;25;0.00283224
[DBG] ;0x13a8e60;15;0;0;19;0
[DBG] ;0x13a8d80;14;0;0;4;0
[DBG] ;0x13a8ca0;13;0;0;8;0
[DBG] ;0x13a8bc0;12;0x13a8ed0;0x13a8f40;0;0.101967
[DBG] ;0x13a8ed0;13;0x13a9110;0x13a9180;0;0.0401688
[DBG] ;0x13a9110;14;0;0;2;0.000892639
[DBG] ;0x13a9180;14;0x13a91f0;0x13a9260;0;0.0392761
[DBG] ;0x13a91f0;15;0;0;24;0.013092
[DBG] ;0x13a9260;15;0;0;46;0.0261841
[DBG] ;0x13a8f40;13;0x13a92d0;0x13a9340;0;0.0617981
[DBG] ;0x13a92d0;14;0;0;2;0.00137329
[DBG] ;0x13a9340;14;0x13a93b0;0x13a9420;0;0.0604248
[DBG] ;0x13a93b0;15;0;0;30;0.0201416
[DBG] ;0x13a9420;15;0;0;49;0.0402832
[DBG] ;0x13a8aa0;11;0x13a9490;0x13a9500;0;0.0279464
[DBG] ;0x13a9490;12;0x13a9570;0x13a95e0;0;0.0143509
[DBG] ;0x13a9570;13;0;0;5;0.00108721
[DBG] ;0x13a95e0;13;0;0;8;0.0132637
[DBG] ;0x13a9500;12;0x13a9650;0x13a96c0;0;0.0135955
[DBG] ;0x13a9650;13;0x13a9730;0x13a97a0;0;0.00205992
[DBG] ;0x13a9730;14;0x13a9810;0x13a9880;0;0.0019741
[DBG] ;0x13a9810;15;0;0;12;0.00142574
[DBG] ;0x13a9880;15;0;0;2;0.000548358
[DBG] ;0x13a97a0;14;0;0;1;8.58246e-05
[DBG] ;0x13a96c0;13;0x13a98f0;0x13a9960;0;0.0115356
[DBG] ;0x13a98f0;14;0x13a99f0;0x13a9a60;0;0.0110549
[DBG] ;0x13a99f0;15;0;0;57;0.00798415
[DBG] ;0x13a9a60;15;0;0;16;0.0030708
[DBG] ;0x13a9960;14;0;0;3;0.000480618
[DBG] ;0x13a7d00;10;0x13a9b30;0x13a9ba0;0;0.0321807
[DBG] ;0x13a9b30;11;0;0;10;0.0197601
[DBG] ;0x13a9ba0;11;0;0;3;0.0124206
[DBG] ;0x13a71c0;8;0;0;6;0
[DBG] ;0x13a6660;7;0;0;3;0.291095
[DBG] ;0x13a3240;5;0x13a9c10;0x13a9c80;0;-0.0479221
[DBG] ;0x13a9c10;6;0;0;4;-0.026453
[DBG] ;0x13a9c80;6;0;0;9;-0.0214691
[DBG] ;0x1394000;2;0x13a9cf0;0x13a9d60;0;3.705
[DBG] ;0x13a9cf0;3;0x13aecd0;0x13aed40;0;1.4956
[DBG] ;0x13aecd0;4;0x13aedb0;0x13aee20;0;1.05466
[DBG] ;0x13aedb0;5;0x13aee90;0x13aef00;0;0.111409
[DBG] ;0x13aee90;6;0x13aef70;0x13aefe0;0;0.111409
[DBG] ;0x13aef70;7;0x13af050;0x13af0c0;0;0.111409
[DBG] ;0x13af050;8;0x13af130;0x13af1a0;0;0.111409
[DBG] ;0x13af130;9;0x13af210;0x13af280;0;0.111409
[DBG] ;0x13af210;10;0x13af2f0;0x13af360;0;0.111409
[DBG] ;0x13af2f0;11;0x13af3d0;0x13af440;0;0.111409
[DBG] ;0x13af3d0;12;0x13af4b0;0x13af520;0;0.111409
